Date,DayOfTheWeek,FlightNo,Airline,Airline IATA Code,Airline ICAO Code,DestinationCity,DestinationAirportIATACode,DestinationAirportICAOCode,FlightType,Scheduled Departure Local Time,Scheduled Departure UTC,Actual Departure,Delay Duration Local(minutes),Delay Status,
2022-01-02,Sunday,517,Air Arabia,G9,ABY,Sharjah,SHJ,OMSJ,International,02 Jan 9:40,02 Jan 3:40,02 Jan 9:52,12,0,
2022-01-02,Sunday,282,Kuwait Airways,KU,KAC,Kuwait City,KWI,OKBK,International,02 Jan 9:45,02 Jan 3:45,02 Jan 9:54,9,0,
2022-01-02,Sunday,71,Biman Bangladesh Airlines,BG,BBC,Kathmandu,KTM,VNKT,International,02 Jan 10:30,02 Jan 4:30,02 Jan 10:45,15,0,
2022-01-02,Sunday,200,SriLankan Airlines,UL,ALK,Colombo,CMB,VCBI,International,02 Jan 10:45,02 Jan 4:45,02 Jan 11:44,59,1,
2022-01-02,Sunday,641,Qatar Airways,QR,QTR,Doha,DOH,OTHH,International,02 Jan 10:45,02 Jan 4:45,02 Jan 11:56,71,1,
2022-01-02,Sunday,601,Biman Bangladesh Airlines,BG,BBC,Sylhet,ZYL,VGSY,Domestic,02 Jan 11:00,02 Jan 5:00,02 Jan 11:32,32,1,
2022-01-02,Sunday,88,Biman Bangladesh Airlines,BG,BBC,Bangkok,BKK,VTBS,International,02 Jan 11:30,02 Jan 5:30,02 Jan 12:31,61,1,
2022-01-02,Sunday,433,Biman Bangladesh Airlines,BG,BBC,Cox's Bazar,CXB,VGCB,Domestic,02 Jan 11:30,02 Jan 5:30,02 Jan 11:52,22,1,
2022-01-02,Sunday,493,Biman Bangladesh Airlines,BG,BBC,Saidpur,SPD,VGSD,Domestic,02 Jan 11:45,02 Jan 5:45,02 Jan 13:00,75,1,
2022-01-02,Sunday,2662,Cathay Pacific,CX,CPA,Hong Kong,HKG,VHHH,International,02 Jan 11:45,02 Jan 5:45,02 Jan 11:56,11,0,
2022-01-02,Sunday,4097,Biman Bangladesh Airlines,BG,BBC,Delhi,DEL,VIDP,International,02 Jan 12:00,02 Jan 6:00,02 Jan 15:31,211,1,
2022-01-02,Sunday,531,Biman Bangladesh Airlines,BG,BBC,Cox's Bazar,CXB,VGCB,Domestic,02 Jan 12:00,02 Jan 6:00,02 Jan 12:23,23,1,
2022-01-02,Sunday,207,Biman Bangladesh Airlines,BG,BBC,Sylhet,ZYL,VGSY,Domestic,02 Jan 12:00,02 Jan 6:00,02 Jan 12:33,33,1,
2022-01-02,Sunday,583,Emirates,EK,UAE,Dubai,DXB,OMDB,International,02 Jan 12:10,02 Jan 6:10,02 Jan 12:50,40,1,
2022-01-02,Sunday,481,Biman Bangladesh Airlines,BG,BBC,Rajshahi,RJH,VGRJ,Domestic,02 Jan 12:15,02 Jan 6:15,02 Jan 12:23,8,0,
2022-01-02,Sunday,995,Saudi Arabian Airlines,SV,SVA,Riyadh,RUH,OERK,International,02 Jan 12:40,02 Jan 6:40,02 Jan 12:38,0,0,
2022-01-02,Sunday,535,Biman Bangladesh Airlines,BG,BBC,Cox's Bazar,CXB,VGCB,Domestic,02 Jan 12:45,02 Jan 6:45,02 Jan 12:45,0,0,
2022-01-02,Sunday,809,Saudi Arabian Airlines,SV,SVA,Jeddah,JED,OEJN,International,02 Jan 14:28,02 Jan 8:28,02 Jan 14:28,0,0,
2022-01-02,Sunday,503,Maldivian,Q2,DQA,Male,MLE,VRMM,International,02 Jan 14:40,02 Jan 8:40,02 Jan 14:49,9,0,
2022-01-02,Sunday,437,Biman Bangladesh Airlines,BG,BBC,Cox's Bazar,CXB,VGCB,Domestic,02 Jan 14:45,02 Jan 8:45,02 Jan 15:38,53,1,
2022-01-02,Sunday,873,Air Arabia,G9,ABY,Ra'sal-Khaymah,RKT,OMRK,International,02 Jan 15:40,02 Jan 9:40,02 Jan 16:40,60,1,
2022-01-02,Sunday,615,Biman Bangladesh Airlines,BG,BBC,Chittagong,CGP,VGEG,Domestic,02 Jan 15:45,02 Jan 9:45,02 Jan 16:02,17,0,
2022-01-02,Sunday,603,Biman Bangladesh Airlines,BG,BBC,Sylhet,ZYL,VGSY,Domestic,02 Jan 16:15,02 Jan 10:15,02 Jan 16:33,18,0,
2022-01-02,Sunday,679,Himalaya Airlines,H9,HIM,Kathmandu,KTM,VNKT,International,02 Jan 16:25,02 Jan 10:25,02 Jan 17:29,64,1,
2022-01-02,Sunday,584,flydubai,FZ,FDB,Dubai,DXB,OMDB,International,02 Jan 16:35,02 Jan 10:35,02 Jan 17:21,46,1,
2022-01-02,Sunday,8251,IndiGo,6E,IGO,Kolkata,CCU,VECC,International,02 Jan 16:35,02 Jan 10:35,02 Jan 17:12,37,1,
2022-01-02,Sunday,4135,Biman Bangladesh Airlines,BG,BBC,Chittagong,CGP,VGEG,Domestic,02 Jan 16:55,02 Jan 10:55,02 Jan 17:07,12,0,
2022-01-02,Sunday,519,Air Arabia,G9,ABY,Sharjah,SHJ,OMSJ,International,02 Jan 16:55,02 Jan 10:55,02 Jan 17:43,48,1,
2022-01-02,Sunday,915,NovoAir,VQ,NVQ,Chittagong,CGP,VGEG,Domestic,02 Jan 17:00,02 Jan 11:00,02 Jan 17:13,13,0,
2022-01-02,Sunday,27,Biman Bangladesh Airlines,BG,BBC,Abu Dhabi,AUH,OMAA,International,02 Jan 17:00,02 Jan 11:00,02 Jan 23:38,398,1,
2022-01-02,Sunday,467,Biman Bangladesh Airlines,BG,BBC,Jessore,JSR,VGJR,Domestic,02 Jan 17:30,02 Jan 11:30,02 Jan 17:45,15,0,
2022-01-02,Sunday,245,Etihad Airways,EY,ETD,Abu Dhabi,AUH,OMAA,International,02 Jan 17:30,02 Jan 11:30,02 Jan 19:17,107,1,
2022-01-02,Sunday,3871,Saudi Arabian Airlines,SV,SVA,Riyadh,RUH,OERK,International,02 Jan 18:00,02 Jan 12:00,02 Jan 18:35,35,1,
2022-01-02,Sunday,25,Biman Bangladesh Airlines,BG,BBC,Doha,DOH,OTHH,International,02 Jan 18:15,02 Jan 12:15,02 Jan 22:07,232,1,
2022-01-02,Sunday,47,Biman Bangladesh Airlines,BG,BBC,Dubai,DXB,OMDB,International,02 Jan 18:30,02 Jan 12:30,02 Jan 20:32,122,1,
2022-01-02,Sunday,587,Emirates,EK,UAE,Dubai,DXB,OMDB,International,02 Jan 18:40,02 Jan 12:40,02 Jan 19:20,40,1,
2022-01-02,Sunday,639,Qatar Airways,QR,QTR,Doha,DOH,OTHH,International,02 Jan 18:50,02 Jan 12:50,02 Jan 19:27,37,1,
2022-01-02,Sunday,333,US-Bangla Airlines,BS,UBG,Doha,DOH,OTHH,International,02 Jan 19:00,02 Jan 13:00,02 Jan 19:50,50,1,
2022-01-02,Sunday,251,Gulf Air,GF,GFA,Bahrain,BAH,OBBI,International,02 Jan 19:00,02 Jan 13:00,02 Jan 19:30,30,1,
2022-01-02,Sunday,43,Biman Bangladesh Airlines,BG,BBC,Kuwait City,KWI,OKBK,International,02 Jan 19:10,02 Jan 13:10,02 Jan 20:02,52,1,
2022-01-02,Sunday,617,Biman Bangladesh Airlines,BG,BBC,Chittagong,CGP,VGEG,Domestic,02 Jan 19:15,02 Jan 13:15,02 Jan 19:51,36,1,
2022-01-02,Sunday,86,Biman Bangladesh Airlines,BG,BBC,Kuala Lumpur,KUL,WMKK,International,02 Jan 19:15,02 Jan 13:15,03 Jan 0:16,301,1,
2022-01-02,Sunday,969,NovoAir,VQ,NVQ,Saidpur,SPD,VGSD,Domestic,02 Jan 19:30,02 Jan 13:30,02 Jan 20:15,45,1,
2022-01-02,Sunday,635,Qatar Airways,QR,QTR,Doha,DOH,OTHH,International,02 Jan 19:35,02 Jan 13:35,02 Jan 19:57,22,1,
2022-01-02,Sunday,321,US-Bangla Airlines,BS,UBG,Chittagong,CGP,VGEG,Domestic,02 Jan 19:40,02 Jan 13:40,02 Jan 20:22,42,1,
2022-01-02,Sunday,515,Air Arabia,G9,ABY,Sharjah,SHJ,OMSJ,International,02 Jan 20:05,02 Jan 14:05,02 Jan 20:48,43,1,
2022-01-02,Sunday,605,Biman Bangladesh Airlines,BG,BBC,Sylhet,ZYL,VGSY,Domestic,02 Jan 20:30,02 Jan 14:30,02 Jan 20:45,15,0,
2022-01-02,Sunday,803,Saudi Arabian Airlines,SV,SVA,Jeddah,JED,OEJN,International,02 Jan 21:25,02 Jan 15:25,02 Jan 22:05,40,1,
2022-01-02,Sunday,341,US-Bangla Airlines,BS,UBG,Dubai,DXB,OMDB,International,02 Jan 21:25,02 Jan 15:25,02 Jan 21:45,20,0,
2022-01-02,Sunday,511,Air Arabia,G9,ABY,Sharjah,SHJ,OMSJ,International,02 Jan 21:50,02 Jan 15:50,02 Jan 22:39,49,1,
2022-01-02,Sunday,5087,Biman Bangladesh Airlines,BG,BBC,Kinshasa,FIH,FZAA,International,02 Jan 22:30,02 Jan 16:30,02 Jan 23:21,51,1,
2022-01-02,Sunday,447,Singapore Airlines,SQ,SIA,Singapore,SIN,WSSS,International,02 Jan 22:40,02 Jan 16:40,02 Jan 22:54,14,0,
2022-01-02,Sunday,585,Emirates,EK,UAE,Dubai,DXB,OMDB,International,02 Jan 22:40,02 Jan 16:40,03 Jan 0:02,82,1,
2022-01-02,Sunday,284,Kuwait Airways,KU,KAC,Kuwait City,KWI,OKBK,International,02 Jan 22:50,02 Jan 16:50,03 Jan 0:38,108,1,
2022-01-02,Sunday,197,Malaysia Airlines,MH,MAS,Kuala Lumpur,KUL,WMKK,International,02 Jan 22:55,02 Jan 16:55,02 Jan 23:39,44,1,
2022-01-02,Sunday,161,Malindo Air,OD,MXD,Kuala Lumpur,KUL,WMKK,International,02 Jan 23:00,02 Jan 17:00,02 Jan 23:06,6,0,
2022-01-02,Sunday,805,Saudi Arabian Airlines,SV,SVA,Riyadh,RUH,OERK,International,02 Jan 23:00,02 Jan 17:00,02 Jan 23:38,38,1,
2022-01-02,Sunday,4039,Biman Bangladesh Airlines,BG,BBC,Sylhet,ZYL,VGSY,Domestic,02 Jan 23:30,02 Jan 17:30,03 Jan 0:21,51,1,
2022-01-03,Monday,611,Biman Bangladesh Airlines,BG,BBC,Chittagong,CGP,VGEG,Domestic,03 Jan 7:45,03 Jan 1:45,03 Jan 8:38,53,1,
2022-01-03,Monday,4091,Biman Bangladesh Airlines,BG,BBC,Kolkata,CCU,VECC,International,03 Jan 8:05,03 Jan 2:05,03 Jan 8:34,29,1,
2022-01-03,Monday,84,Biman Bangladesh Airlines,BG,BBC,Singapore,SIN,WSSS,International,03 Jan 8:25,03 Jan 2:25,03 Jan 8:36,11,0,
2022-01-03,Monday,461,Biman Bangladesh Airlines,BG,BBC,Jessore,JSR,VGJR,Domestic,03 Jan 9:15,03 Jan 3:15,03 Jan 9:28,13,0,
2022-01-03,Monday,532,Jazeera Airways,J9,JZR,Kuwait City,KWI,OKBK,International,03 Jan 9:20,03 Jan 3:20,03 Jan 9:34,14,0,
2022-01-03,Monday,517,Air Arabia,G9,ABY,Sharjah,SHJ,OMSJ,International,03 Jan 9:40,03 Jan 3:40,03 Jan 9:51,11,0,
2022-01-03,Monday,71,Biman Bangladesh Airlines,BG,BBC,Kathmandu,KTM,VNKT,International,03 Jan 10:30,03 Jan 4:30,03 Jan 11:45,75,1,
2022-01-03,Monday,641,Qatar Airways,QR,QTR,Doha,DOH,OTHH,International,03 Jan 10:45,03 Jan 4:45,03 Jan 11:03,18,0,
2022-01-03,Monday,200,SriLankan Airlines,UL,ALK,Colombo,CMB,VCBI,International,03 Jan 10:45,03 Jan 4:45,03 Jan 10:41,0,0,
2022-01-03,Monday,601,Biman Bangladesh Airlines,BG,BBC,Sylhet,ZYL,VGSY,Domestic,03 Jan 11:00,03 Jan 5:00,03 Jan 11:19,19,0,
2022-01-03,Monday,433,Biman Bangladesh Airlines,BG,BBC,Cox's Bazar,CXB,VGCB,Domestic,03 Jan 11:30,03 Jan 5:30,03 Jan 12:05,35,1,
2022-01-03,Monday,493,Biman Bangladesh Airlines,BG,BBC,Saidpur,SPD,VGSD,Domestic,03 Jan 11:45,03 Jan 5:45,03 Jan 11:58,13,0,
2022-01-03,Monday,4097,Biman Bangladesh Airlines,BG,BBC,Delhi,DEL,VIDP,International,03 Jan 12:00,03 Jan 6:00,03 Jan 12:25,25,1,
2022-01-03,Monday,583,Emirates,EK,UAE,Dubai,DXB,OMDB,International,03 Jan 12:10,03 Jan 6:10,03 Jan 12:46,36,1,
2022-01-03,Monday,719,SpiceJet,SG,SEJ,Kolkata,CCU,VECC,International,03 Jan 13:10,03 Jan 7:10,03 Jan 13:11,1,0,
2022-01-03,Monday,398,SalamAir,OV,OMS,Muscat,MCT,OOMS,International,03 Jan 13:20,03 Jan 7:20,03 Jan 13:36,16,0,
2022-01-03,Monday,1229,Air India,AI,AIC,Kolkata,CCU,VECC,International,03 Jan 13:45,03 Jan 7:45,03 Jan 13:59,14,0,
2022-01-03,Monday,437,Biman Bangladesh Airlines,BG,BBC,Cox's Bazar,CXB,VGCB,Domestic,03 Jan 14:45,03 Jan 8:45,03 Jan 15:19,34,1,
2022-01-03,Monday,693,Biman Bangladesh Airlines,BG,BBC,Saidpur,SPD,VGSD,Domestic,03 Jan 15:15,03 Jan 9:15,03 Jan 15:31,16,0,
2022-01-03,Monday,615,Biman Bangladesh Airlines,BG,BBC,Chittagong,CGP,VGEG,Domestic,03 Jan 15:45,03 Jan 9:45,03 Jan 16:17,32,1,
2022-01-03,Monday,603,Biman Bangladesh Airlines,BG,BBC,Sylhet,ZYL,VGSY,Domestic,03 Jan 16:15,03 Jan 10:15,03 Jan 16:31,16,0,
2022-01-03,Monday,495,Biman Bangladesh Airlines,BG,BBC,Saidpur,SPD,VGSD,Domestic,03 Jan 16:30,03 Jan 10:30,03 Jan 20:19,229,1,
2022-01-03,Monday,584,flydubai,FZ,FDB,Dubai,DXB,OMDB,International,03 Jan 16:35,03 Jan 10:35,03 Jan 17:03,28,1,
2022-01-03,Monday,3871,Saudi Arabian Airlines,SV,SVA,Jeddah,JED,OEJN,International,03 Jan 16:45,03 Jan 10:45,03 Jan 17:34,49,1,
2022-01-03,Monday,519,Air Arabia,G9,ABY,Sharjah,SHJ,OMSJ,International,03 Jan 16:55,03 Jan 10:55,03 Jan 17:30,35,1,
2022-01-03,Monday,915,NovoAir,VQ,NVQ,Chittagong,CGP,VGEG,Domestic,03 Jan 17:00,03 Jan 11:00,03 Jan 17:36,36,1,
2022-01-03,Monday,4037,Biman Bangladesh Airlines,BG,BBC,Medina,MED,OEMA,International,03 Jan 17:10,03 Jan 11:10,03 Jan 18:10,60,1,
2022-01-03,Monday,467,Biman Bangladesh Airlines,BG,BBC,Jessore,JSR,VGJR,Domestic,03 Jan 17:30,03 Jan 11:30,03 Jan 17:51,21,1,
2022-01-03,Monday,235,Etihad Airways,EY,ETD,Abu Dhabi,AUH,OMAA,International,03 Jan 17:30,03 Jan 11:30,03 Jan 18:29,59,1,
2022-01-03,Monday,1859,IndiGo,6E,IGO,Kolkata,CCU,VECC,International,03 Jan 17:50,03 Jan 11:50,03 Jan 18:10,20,0,
2022-01-03,Monday,25,Biman Bangladesh Airlines,BG,BBC,Doha,DOH,OTHH,International,03 Jan 18:15,03 Jan 12:15,03 Jan 21:52,217,1,
2022-01-03,Monday,47,Biman Bangladesh Airlines,BG,BBC,Dubai,DXB,OMDB,International,03 Jan 18:30,03 Jan 12:30,03 Jan 21:17,167,1,
2022-01-03,Monday,587,Emirates,EK,UAE,Dubai,DXB,OMDB,International,03 Jan 18:40,03 Jan 12:40,03 Jan 19:22,42,1,
2022-01-03,Monday,4035,Biman Bangladesh Airlines,BG,BBC,Jeddah,JED,OEJN,International,03 Jan 18:50,03 Jan 12:50,03 Jan 19:27,37,1,
2022-01-03,Monday,639,Qatar Airways,QR,QTR,Doha,DOH,OTHH,International,03 Jan 18:50,03 Jan 12:50,03 Jan 19:59,69,1,
2022-01-03,Monday,251,Gulf Air,GF,GFA,Bahrain,BAH,OBBI,International,03 Jan 19:00,03 Jan 13:00,03 Jan 19:29,29,1,
2022-01-03,Monday,333,US-Bangla Airlines,BS,UBG,Doha,DOH,OTHH,International,03 Jan 19:00,03 Jan 13:00,03 Jan 19:27,27,1,
2022-01-03,Monday,86,Biman Bangladesh Airlines,BG,BBC,Kuala Lumpur,KUL,WMKK,International,03 Jan 19:15,03 Jan 13:15,03 Jan 23:31,256,1,
2022-01-03,Monday,617,Biman Bangladesh Airlines,BG,BBC,Chittagong,CGP,VGEG,Domestic,03 Jan 19:15,03 Jan 13:15,03 Jan 19:45,30,1,
