Airline,Origin,Destination,Distance,DepTime,ArrDelay,Delayed
NK,ORD,ORD,2432,1471,5,0
AA,DEN,ATL,377,1526,137,1
WN,CLT,SFO,216,3,61,1
UA,LAX,DFW,2352,255,156,1
AA,ORD,ATL,1623,1719,56,1
NK,CLT,LAX,1335,1430,64,1
NK,ATL,DFW,1322,696,150,1
AS,ATL,CLT,458,265,41,1
B6,LAX,LAX,703,2275,65,1
DL,JFK,JFK,2547,1107,11,0
WN,SFO,DEN,1029,930,96,1
AS,ATL,JFK,2595,44,-5,0
DL,DEN,LAS,2623,1791,117,1
DL,CLT,CLT,592,1805,83,1
AA,SFO,ATL,2630,0,170,1
DL,SFO,SFO,2563,1026,118,1
B6,DEN,ATL,2322,1642,166,1
NK,ATL,DEN,1979,2007,153,1
AS,ATL,SFO,1171,1752,88,1
DL,LAS,LAS,1972,1609,66,1
AA,DFW,LAX,710,1353,48,1
B6,LAS,CLT,1318,1693,109,1
UA,LAS,LAS,644,2337,108,1
NK,ATL,ATL,2995,718,52,1
NK,LAX,CLT,2112,573,110,1
AS,LAX,DFW,1496,1184,174,1
NK,LAS,LAS,824,533,110,1
DL,LAS,LAX,1281,1604,106,1
AA,ORD,JFK,1014,1704,71,1
NK,DFW,DEN,1260,1263,24,1
NK,DFW,ATL,909,101,17,1
UA,LAX,DEN,600,2098,11,0
UA,LAX,SFO,429,2260,145,1
WN,JFK,LAS,1717,2022,110,1
B6,LAX,JFK,2227,1243,178,1
DL,SFO,ORD,923,2160,114,1
NK,JFK,LAX,2111,1734,12,0
NK,JFK,DFW,1968,575,172,1
AA,LAS,CLT,1216,2298,92,1
WN,LAX,DFW,1326,1989,109,1
B6,ATL,CLT,1214,235,52,1
WN,ORD,ORD,1815,407,95,1
AS,ATL,JFK,1963,418,120,1
B6,SFO,ATL,1102,133,43,1
NK,LAX,ORD,2095,207,178,1
NK,LAX,CLT,873,1772,95,1
B6,LAS,CLT,843,71,-11,0
NK,DEN,CLT,1784,897,61,1
DL,SFO,ORD,2136,1510,149,1
B6,DFW,CLT,1875,437,-6,0
WN,DFW,DEN,2451,1857,76,1
B6,ATL,CLT,273,187,163,1
NK,CLT,LAS,2080,1702,146,1
DL,SFO,JFK,2680,1902,78,1
DL,LAX,JFK,323,347,54,1
AS,LAX,ATL,268,484,175,1
WN,DEN,JFK,702,851,42,1
UA,JFK,LAS,365,1270,32,1
UA,SFO,LAS,953,1184,146,1
B6,CLT,SFO,2748,1787,58,1
AS,CLT,LAX,1156,134,11,0
AA,ORD,ATL,1588,242,7,0
B6,SFO,ATL,2331,2158,-13,0
AS,JFK,DFW,1466,2331,31,1
WN,ORD,DFW,1511,1560,31,1
WN,DEN,CLT,1791,987,13,0
WN,LAS,ORD,2910,462,75,1
WN,DFW,SFO,2057,172,72,1
WN,DFW,JFK,1034,385,19,1
AS,LAS,JFK,680,882,143,1
AS,LAS,ORD,1786,1835,125,1
DL,DEN,JFK,2912,762,18,1
UA,DFW,JFK,223,1697,127,1
NK,LAX,ORD,1530,2053,110,1
WN,CLT,LAS,271,71,172,1
AA,CLT,DFW,629,565,-18,0
NK,SFO,ATL,939,423,-16,0
AS,CLT,SFO,1920,1440,63,1
AA,ORD,LAX,2460,743,94,1
AA,ORD,DEN,2199,57,56,1
AA,LAX,JFK,261,427,23,1
DL,JFK,ATL,1822,2094,-12,0
AS,ORD,DEN,1252,2261,126,1
AA,ORD,ATL,876,2303,145,1
WN,SFO,SFO,2593,1941,61,1
B6,LAS,ORD,2847,1689,119,1
AA,JFK,ORD,2372,2055,135,1
DL,CLT,CLT,2799,1577,8,0
NK,JFK,LAX,1406,981,51,1
AS,ORD,JFK,1858,1539,68,1
DL,ATL,DFW,1761,942,78,1
AA,CLT,SFO,705,2140,-5,0
AS,JFK,ATL,2914,1370,27,1
B6,LAX,CLT,2706,596,53,1
AA,DFW,JFK,1216,565,91,1
DL,DEN,DFW,1954,1229,26,1
UA,DFW,LAX,1501,515,70,1
WN,ORD,ORD,2056,1921,-8,0
NK,SFO,DEN,1901,296,6,0
DL,JFK,LAX,930,1190,155,1
AS,LAX,CLT,712,153,41,1
AA,LAS,ATL,2514,1864,94,1
WN,ATL,SFO,877,1995,159,1
AA,CLT,DFW,893,1986,76,1
AS,LAS,SFO,734,564,156,1
AA,SFO,SFO,1825,2195,133,1
UA,JFK,LAX,1644,399,153,1
WN,DFW,DEN,1146,1694,151,1
WN,DEN,CLT,2564,1923,126,1
AS,CLT,CLT,790,2165,-3,0
NK,CLT,LAS,1583,1672,170,1
UA,LAS,DFW,2057,2267,24,1
DL,LAS,ORD,2108,202,49,1
AA,ATL,DFW,1034,808,105,1
B6,DEN,DEN,1316,1001,26,1
AA,ORD,LAS,2111,1327,172,1
AA,JFK,LAS,321,1384,174,1
DL,DEN,ATL,1188,29,4,0
AA,JFK,DFW,2029,1520,147,1
UA,LAS,CLT,2297,290,97,1
UA,DEN,LAS,1374,548,-9,0
WN,JFK,JFK,2812,116,41,1
AS,ORD,ORD,1774,1216,15,1
NK,JFK,ATL,1630,1134,97,1
B6,LAX,LAS,2871,2289,159,1
AA,DEN,JFK,1834,640,165,1
AA,SFO,CLT,1929,654,113,1
DL,JFK,LAX,2738,311,75,1
AS,DFW,JFK,2403,2255,79,1
UA,DEN,SFO,2235,1382,-12,0
B6,ATL,ATL,2719,1958,67,1
WN,DEN,LAX,650,1777,74,1
UA,DFW,ATL,2641,434,145,1
AS,SFO,LAX,709,632,46,1
NK,ATL,ATL,1001,1408,164,1
WN,JFK,LAX,712,267,136,1
NK,LAX,SFO,1453,2339,6,0
DL,DEN,ORD,1132,1012,45,1
DL,LAX,SFO,961,2148,90,1
AA,DFW,LAX,2187,2235,1,0
NK,ATL,ATL,2318,2277,20,1
AS,SFO,SFO,1162,131,128,1
B6,ATL,DEN,2453,2069,178,1
WN,SFO,ORD,2305,505,123,1
UA,CLT,CLT,727,1125,65,1
AS,SFO,LAS,1799,2178,-5,0
AS,LAX,ATL,611,1198,25,1
DL,JFK,LAS,2317,471,108,1
NK,DFW,ORD,2137,1870,70,1
AA,SFO,LAX,793,1542,176,1
AA,JFK,CLT,1394,1415,25,1
WN,CLT,DEN,1430,1297,35,1
DL,ORD,CLT,1109,1159,154,1
AS,SFO,ORD,853,1293,169,1
B6,ORD,CLT,1242,83,131,1
DL,ATL,LAX,1061,1709,110,1
WN,CLT,SFO,474,20,17,1
WN,LAX,LAX,1095,1487,74,1
DL,DEN,LAX,1128,1121,168,1
WN,LAS,DFW,2413,1379,113,1
DL,LAS,LAS,231,2287,-1,0
UA,DFW,LAX,862,219,16,1
DL,ORD,LAS,2345,2006,15,1
NK,DEN,CLT,2848,413,93,1
DL,LAS,ATL,2017,2325,114,1
WN,DEN,DFW,2041,2066,79,1
NK,ATL,DEN,2611,1179,74,1
WN,DFW,LAS,2726,1005,55,1
AA,SFO,DEN,342,630,143,1
AA,ORD,DEN,870,183,56,1
NK,LAS,DEN,780,1823,161,1
UA,JFK,JFK,2261,2261,19,1
AA,CLT,JFK,2525,942,99,1
DL,DFW,LAS,1050,1483,70,1
WN,LAS,LAX,305,1995,89,1
AA,LAX,DFW,433,623,143,1
AA,JFK,LAS,327,1468,93,1
UA,SFO,DEN,2702,778,143,1
NK,LAS,LAS,1471,693,61,1
NK,DFW,LAX,701,1800,155,1
AS,ATL,JFK,2246,1406,147,1
UA,ATL,LAX,2892,2129,0,0
DL,CLT,LAX,1247,561,109,1
NK,JFK,DFW,1621,1761,87,1
WN,JFK,JFK,1271,966,-3,0
UA,CLT,LAX,2628,1222,5,0
AA,LAX,DFW,1473,619,76,1
WN,DEN,DFW,1323,282,62,1
WN,LAX,SFO,905,992,61,1
AA,DFW,ATL,1277,2127,4,0
UA,ORD,DEN,2376,656,148,1
AA,SFO,DEN,1047,2017,27,1
AS,LAS,LAS,2174,1357,122,1
WN,LAX,ORD,2860,0,82,1
B6,SFO,LAS,406,1607,147,1
B6,CLT,LAS,942,257,-20,0
DL,CLT,LAX,2035,2271,-2,0
NK,SFO,LAX,1051,2237,93,1
AA,ATL,SFO,326,228,144,1
AA,ATL,CLT,709,913,144,1
DL,LAS,ORD,1533,975,67,1
DL,LAS,SFO,697,1902,121,1
DL,DFW,SFO,1045,1552,52,1
WN,SFO,SFO,906,1353,30,1
AS,SFO,LAX,1046,1135,112,1
AA,LAS,CLT,2611,190,84,1
WN,SFO,CLT,967,1755,85,1
DL,CLT,DFW,888,1344,105,1
AA,SFO,SFO,1805,995,175,1
WN,ATL,SFO,370,771,110,1
AS,LAX,ATL,1460,410,40,1
WN,ORD,DFW,2184,1771,174,1
AS,SFO,DEN,1134,1794,-7,0
DL,LAS,DEN,1830,1354,7,0
AS,LAX,LAS,1707,653,169,1
AA,SFO,ORD,1516,1728,95,1
DL,ATL,DFW,481,50,85,1
AA,SFO,JFK,285,1996,49,1
B6,DFW,JFK,2283,637,106,1
UA,SFO,DFW,2055,75,-3,0
AS,DEN,JFK,664,741,4,0
UA,LAX,SFO,913,15,56,1
UA,SFO,CLT,1848,587,51,1
AS,DFW,LAX,2145,2344,20,1
DL,LAS,ORD,1745,728,48,1
B6,JFK,CLT,960,2301,-2,0
AA,JFK,JFK,230,1841,6,0
WN,LAX,LAS,1537,428,56,1
AA,CLT,DFW,1507,2266,84,1
WN,LAS,JFK,618,991,52,1
AA,SFO,CLT,1479,1323,122,1
AS,JFK,LAS,922,682,63,1
B6,SFO,LAS,1725,2118,9,0
WN,CLT,LAS,1920,2044,101,1
NK,SFO,DEN,788,665,151,1
DL,DFW,SFO,1115,249,110,1
AA,SFO,SFO,1771,1131,67,1
AA,LAX,ATL,262,2132,149,1
WN,LAS,ORD,1293,2261,117,1
DL,LAX,LAS,2163,1574,46,1
DL,LAX,ORD,2900,338,122,1
AS,DFW,ORD,2664,1639,178,1
NK,CLT,ATL,633,1868,-4,0
AS,DEN,ORD,382,1135,103,1
AS,LAS,LAX,1785,2202,176,1
AS,DEN,DFW,1051,178,110,1
AS,DFW,JFK,2811,493,77,1
AS,JFK,JFK,1650,965,71,1
B6,CLT,DEN,2590,2354,-6,0
DL,ORD,ATL,2641,1152,-17,0
AS,LAX,CLT,305,318,0,0
DL,SFO,JFK,569,909,114,1
DL,LAX,DFW,1045,1392,65,1
UA,JFK,DEN,580,147,143,1
B6,LAX,DFW,304,687,4,0
AS,DEN,DEN,572,82,169,1
AA,LAX,ORD,1475,347,171,1
WN,JFK,LAS,1265,2111,102,1
NK,JFK,SFO,2467,1166,156,1
AA,ATL,JFK,230,724,68,1
B6,CLT,DFW,1637,2117,143,1
WN,DEN,JFK,1711,1662,61,1
B6,ATL,ORD,1460,531,174,1
DL,DEN,DEN,2254,2006,111,1
WN,DEN,LAX,1009,854,105,1
DL,LAS,DFW,1633,1207,30,1
AA,ATL,SFO,1877,205,119,1
AA,DEN,LAS,1008,2325,149,1
WN,JFK,JFK,242,1197,69,1
WN,SFO,SFO,1509,1161,44,1
AS,SFO,CLT,2256,988,111,1
B6,JFK,ORD,701,149,112,1
AS,CLT,LAX,330,31,-3,0
B6,DFW,CLT,1260,1213,60,1
AS,LAS,SFO,2659,1255,-19,0
DL,CLT,JFK,643,610,-7,0
WN,ORD,LAX,529,1465,99,1
AA,JFK,ATL,2435,400,-18,0
B6,ORD,ORD,435,1468,39,1
B6,LAX,LAX,1989,719,-1,0
AA,LAX,DFW,1431,376,32,1
AS,ATL,DEN,780,1137,-15,0
B6,LAX,DEN,1087,1542,129,1
NK,CLT,SFO,591,1640,47,1
DL,DFW,DEN,2205,2261,-14,0
WN,JFK,DEN,783,1033,30,1
AA,DEN,CLT,1316,1144,5,0
WN,SFO,DFW,2023,598,-9,0
NK,JFK,DFW,307,559,83,1
B6,ORD,SFO,863,1584,156,1
B6,LAS,SFO,2970,1488,155,1
NK,SFO,ORD,2272,1156,123,1
AA,ATL,JFK,1591,880,74,1
DL,DEN,DFW,2503,146,9,0
UA,DEN,ATL,731,641,111,1
AA,ORD,JFK,699,670,144,1
UA,LAX,DFW,967,1800,154,1
NK,DFW,DEN,2740,352,-2,0
AS,CLT,SFO,1244,87,7,0
UA,ORD,LAS,484,2139,152,1
DL,DFW,ATL,1424,580,102,1
AS,ORD,JFK,2053,2290,-3,0
UA,SFO,ATL,2210,569,86,1
NK,DEN,SFO,271,162,107,1
AS,DEN,JFK,1897,2037,91,1
NK,JFK,LAS,2038,733,-18,0
UA,LAX,DEN,1777,1997,102,1
NK,DEN,CLT,809,2262,146,1
DL,CLT,DEN,208,1130,72,1
UA,DFW,SFO,534,2269,147,1
UA,LAX,ORD,2241,666,105,1
UA,DFW,CLT,2085,448,127,1
AA,LAS,DFW,2988,263,19,1
AA,DEN,SFO,1230,2266,96,1
AA,DFW,SFO,704,1261,3,0
DL,DEN,DEN,906,2261,78,1
AS,LAS,ORD,2489,1130,12,0
NK,SFO,JFK,1208,251,-1,0
B6,ORD,DEN,1641,1697,44,1
UA,DFW,LAS,303,937,58,1
NK,ATL,LAX,2493,2332,67,1
UA,DFW,LAX,554,702,93,1
DL,CLT,JFK,1805,1816,158,1
UA,DEN,JFK,382,2029,103,1
AA,ATL,LAX,1643,1529,80,1
B6,DFW,JFK,2878,1199,-5,0
WN,SFO,DEN,2897,1061,4,0
UA,CLT,DFW,660,562,96,1
NK,DFW,CLT,1966,972,-20,0
AA,LAX,SFO,2032,1476,167,1
WN,DEN,ATL,1740,2110,-6,0
B6,LAS,LAS,2304,1296,64,1
WN,ORD,ATL,1471,389,-12,0
AA,SFO,LAS,1965,1057,-4,0
AS,CLT,ATL,1252,969,104,1
AS,DEN,LAX,1791,1028,1,0
WN,ORD,LAX,1064,1171,5,0
DL,JFK,DEN,1510,347,4,0
NK,ORD,DEN,2998,2317,137,1
NK,DEN,SFO,1319,2009,39,1
WN,ATL,SFO,2427,1009,23,1
UA,JFK,ORD,1492,245,39,1
UA,DEN,SFO,2987,1004,41,1
NK,JFK,LAS,228,1831,118,1
NK,CLT,LAS,2868,825,66,1
AS,ORD,SFO,1822,1443,98,1
DL,ORD,ATL,2433,882,64,1
AA,JFK,CLT,355,1165,153,1
UA,ORD,LAX,1894,948,152,1
NK,SFO,CLT,741,2102,174,1
AS,CLT,ORD,1675,579,-18,0
B6,CLT,DFW,301,355,173,1
AS,ORD,ORD,2749,2203,34,1
UA,DFW,DEN,2703,2005,112,1
UA,JFK,DEN,2557,546,2,0
AS,LAS,CLT,797,1782,-13,0
AA,CLT,JFK,2055,1480,174,1
WN,LAX,DFW,1211,1622,111,1
UA,JFK,DFW,2259,637,117,1
AS,ATL,LAS,1003,1038,59,1
NK,LAS,ATL,341,2183,111,1
AS,CLT,DEN,2216,1005,142,1
DL,ORD,SFO,844,2352,114,1
WN,DEN,ORD,1074,253,38,1
B6,LAS,DEN,1027,443,4,0
AA,CLT,ORD,512,1406,-15,0
B6,DFW,DEN,2802,1815,-20,0
WN,LAS,JFK,2961,2349,72,1
WN,LAS,LAS,2558,2188,52,1
WN,ORD,DEN,2848,1599,88,1
B6,CLT,DEN,1179,1824,120,1
NK,ATL,ATL,1787,1327,-1,0
WN,SFO,DFW,819,852,-14,0
AS,CLT,ATL,2580,902,177,1
B6,SFO,DEN,1404,1676,-1,0
WN,DFW,SFO,2610,2176,50,1
AS,JFK,JFK,2536,1883,32,1
NK,CLT,ORD,201,888,-19,0
DL,DFW,LAX,734,2280,157,1
NK,ORD,DFW,983,2349,160,1
WN,LAX,CLT,447,1663,-2,0
B6,ORD,DFW,560,1534,6,0
UA,LAS,LAS,413,2260,57,1
WN,LAX,JFK,2656,2173,19,1
UA,JFK,DEN,2827,1750,111,1
AS,LAX,ORD,2954,2260,11,0
DL,LAX,LAX,697,1623,-3,0
AA,DFW,ATL,2355,719,112,1
NK,JFK,ORD,238,1935,83,1
DL,CLT,LAS,1205,866,9,0
WN,LAX,LAS,571,1800,45,1
UA,DEN,CLT,387,1192,65,1
NK,DFW,SFO,2411,174,76,1
UA,LAX,ORD,2936,1081,110,1
B6,JFK,ORD,800,1075,105,1
UA,DEN,SFO,2198,2021,29,1
B6,DEN,ATL,488,167,78,1
AS,ORD,CLT,1300,1971,74,1
NK,CLT,JFK,2458,1295,154,1
NK,LAS,JFK,858,533,87,1
AA,ORD,SFO,1038,1926,150,1
WN,LAS,LAS,1592,293,61,1
B6,CLT,LAX,2765,2140,138,1
AA,DFW,DFW,2086,1329,124,1
UA,DEN,LAX,1416,1952,128,1
UA,JFK,LAS,1428,2009,58,1
AA,DFW,LAS,405,2172,30,1
NK,SFO,JFK,2005,687,149,1
UA,JFK,SFO,2099,386,75,1
AS,LAS,JFK,2050,2180,89,1
AS,SFO,SFO,1816,317,78,1
AA,ATL,CLT,2255,20,36,1
B6,ATL,JFK,789,1712,37,1
B6,SFO,ORD,1489,1817,104,1
AA,DEN,DFW,2604,2179,107,1
B6,ORD,SFO,791,1426,9,0
NK,LAS,DFW,1933,1220,151,1
NK,DEN,ORD,2847,1466,97,1
B6,LAX,CLT,453,2160,95,1
AS,LAX,DEN,1785,910,94,1
B6,JFK,JFK,1782,133,131,1
NK,DFW,SFO,1892,2051,135,1
DL,DEN,LAS,2605,1806,126,1
WN,ORD,JFK,938,278,157,1
UA,ATL,SFO,1036,385,161,1
DL,DFW,LAX,1623,644,78,1
B6,ATL,JFK,2746,949,148,1
AS,LAS,JFK,1103,49,119,1
AA,ORD,ORD,1757,1347,-4,0
B6,DFW,JFK,832,1391,20,1
AS,SFO,LAX,2660,1732,-8,0
WN,SFO,SFO,2279,1615,130,1
B6,DEN,CLT,692,1850,36,1
NK,LAS,ORD,2155,904,-4,0
AA,SFO,SFO,1390,1915,59,1
AS,ATL,SFO,2681,1921,69,1
AS,LAS,ATL,2187,1435,138,1
AS,DEN,JFK,1749,569,53,1
WN,JFK,ATL,1006,1728,52,1
B6,LAS,JFK,1422,1125,30,1
WN,SFO,ATL,731,1444,81,1
UA,DEN,DFW,1785,1461,129,1
UA,DEN,LAS,878,2028,83,1
B6,ATL,SFO,975,505,147,1
NK,ATL,LAS,958,2064,-13,0
WN,ORD,LAS,1051,15,4,0
AA,CLT,CLT,430,2218,21,1
AS,CLT,LAX,859,1197,112,1
AS,LAX,DFW,2787,68,35,1
B6,DFW,ATL,1149,8,78,1
NK,LAS,JFK,2704,681,85,1
UA,LAS,DEN,1115,1736,111,1
UA,SFO,DFW,862,1237,-12,0
AS,ATL,SFO,1808,1061,107,1
B6,ATL,JFK,2798,814,74,1
WN,SFO,DFW,2537,1716,60,1
UA,ORD,ORD,2397,457,152,1
WN,ORD,ATL,1823,554,32,1
NK,DFW,ATL,2777,1674,165,1
UA,DEN,DEN,1487,908,164,1
UA,CLT,ATL,516,1413,120,1
DL,JFK,SFO,668,1808,72,1
UA,SFO,ORD,2661,154,39,1
AA,CLT,CLT,321,206,-12,0
B6,DFW,LAX,1213,209,51,1
B6,LAX,LAX,1423,1375,53,1
WN,ATL,JFK,1670,1042,99,1
NK,DEN,DEN,1144,1415,151,1
UA,LAS,DEN,1778,1247,173,1
AA,LAX,DEN,292,1438,78,1
WN,ATL,JFK,344,2098,131,1
DL,DFW,ATL,1039,577,76,1
WN,CLT,JFK,626,2231,114,1
WN,CLT,LAX,477,2298,128,1
UA,LAX,CLT,472,1379,166,1
DL,DEN,CLT,2497,1685,49,1
WN,DEN,JFK,1291,1795,-17,0
AA,DFW,JFK,1909,501,169,1
AA,CLT,ORD,1638,574,28,1
B6,LAX,SFO,1994,1384,164,1
DL,LAX,DEN,1757,1261,-10,0
DL,SFO,ORD,2373,1380,13,0
B6,LAS,CLT,1404,150,132,1
WN,ORD,CLT,765,1158,147,1
DL,SFO,DEN,226,51,13,0
AA,ORD,JFK,1902,1466,173,1
AA,DEN,CLT,2181,373,165,1
UA,ORD,DFW,2816,1431,-5,0
DL,JFK,LAS,1546,2317,159,1
WN,DEN,LAS,2350,167,64,1
B6,ORD,LAX,1029,1664,-5,0
B6,JFK,DEN,2240,2345,29,1
WN,DFW,ATL,1570,1939,76,1
NK,CLT,SFO,2536,2259,157,1
AS,CLT,DEN,2307,1262,163,1
UA,CLT,SFO,1620,738,91,1
B6,ORD,DFW,347,1771,12,0
DL,CLT,LAS,1871,691,2,0
UA,ATL,JFK,1706,1648,42,1
DL,CLT,SFO,2323,2019,169,1
NK,ORD,LAS,1628,611,24,1
AA,ORD,CLT,2388,1928,170,1
UA,JFK,JFK,1981,543,169,1
B6,CLT,CLT,1253,1096,13,0
UA,CLT,ORD,677,473,177,1
UA,LAS,DEN,1409,279,8,0
UA,DEN,LAS,2037,156,143,1
AS,LAX,SFO,201,1037,-12,0
UA,JFK,DFW,1114,1801,106,1
DL,CLT,CLT,1358,1392,175,1
AA,ATL,CLT,2937,525,104,1
NK,SFO,DEN,1442,2245,118,1
WN,ATL,DEN,1532,777,150,1
UA,JFK,LAS,2032,1363,37,1
B6,CLT,ATL,1363,267,68,1
UA,LAS,ORD,2648,695,13,0
B6,LAS,CLT,319,2012,-4,0
DL,LAS,LAS,2780,666,76,1
B6,ATL,ATL,2517,720,179,1
WN,LAS,LAX,221,2254,140,1
AA,ATL,DEN,2128,834,-19,0
B6,LAX,LAS,1229,795,86,1
B6,ORD,LAX,2369,2099,47,1
AA,LAX,LAS,2237,116,44,1
WN,JFK,DFW,1239,1681,132,1
UA,DEN,ATL,1961,1518,14,0
B6,ATL,CLT,2547,1128,-20,0
AA,SFO,LAX,732,135,167,1
DL,SFO,SFO,1801,1733,14,0
AA,JFK,SFO,2539,340,132,1
DL,LAS,JFK,2378,432,67,1
WN,CLT,CLT,2040,265,128,1
UA,JFK,JFK,240,1935,32,1
AA,CLT,LAS,2988,1184,67,1
NK,DFW,LAX,2851,1696,81,1
NK,JFK,SFO,2681,2059,2,0
AS,ATL,DFW,1237,187,78,1
B6,SFO,DFW,1847,18,44,1
WN,DFW,DFW,1903,1639,6,0
AA,ORD,LAS,1884,767,38,1
NK,ATL,LAX,2980,124,98,1
B6,LAX,LAS,1448,2162,-17,0
